"concept","code","name","level","parent"
"coicop18","CP06123","Treatment devices for personal use (ND)",5,"CP0612"
"coicop18","CP0613","Assistive products (D)",4,"CP061"
"coicop18","CP06131","Assistive products for vision (D)",5,"CP0613"
"coicop18","CP06132","Assistive products for hearing and communication (D)",5,"CP0613"
"coicop18","CP06133","Assistive products for mobility and daily living (D)",5,"CP0613"
"coicop18","CP0614","Repair, rental and maintenance of medical and assistive products (S)",4,"CP061"
"coicop18","CP06140","Repair, rental and maintenance of medical and assistive products (S)",5,"CP0614"
"coicop18","CP062","Outpatient care services",3,"CP06"
"coicop18","CP0621","Preventive care services (S)",4,"CP062"
"coicop18","CP06211","Immunization services (S)",5,"CP0621"
"coicop18","CP06219","Other preventive care services (S)",5,"CP0621"
"coicop18","CP0622","Outpatient dental services (S)",4,"CP062"
"coicop18","CP06221","Dental preventive services (S)",5,"CP0622"
"coicop18","CP06229","Other outpatient dental services (S)",5,"CP0622"
"coicop18","CP0623","Other outpatient care services (S)",4,"CP062"
"coicop18","CP06231","Outpatient curative and rehabilitative services (S)",5,"CP0623"
"coicop18","CP06232","Outpatient long-term care services (S)",5,"CP0623"
"coicop18","CP063","Inpatient care services",3,"CP06"
"coicop18","CP0631","Inpatient curative and rehabilitative services (S)",4,"CP063"
"coicop18","CP06310","Inpatient curative and rehabilitative services (S)",5,"CP0631"
"coicop18","CP0632","Inpatient long-term care services (S)",4,"CP063"
"coicop18","CP06320","Inpatient long-term care services (S)",5,"CP0632"
"coicop18","CP064","Other health services",3,"CP06"
"coicop18","CP0641","Diagnostic imaging services and medical laboratory services (S)",4,"CP064"
"coicop18","CP06410","Diagnostic imaging services and medical laboratory services (S)",5,"CP0641"
"coicop18","CP0642","Patient emergency transportation and emergency rescue services (S)",4,"CP064"
"coicop18","CP06420","Patient emergency transportation and emergency rescue services (S)",5,"CP0642"
"coicop18","CP07","Transport",2,"TOTAL"
"coicop18","CP071","Purchase of vehicles",3,"CP07"
"coicop18","CP0711","Motor cars (D)",4,"CP071"
"coicop18","CP07111","New motor cars (D)",5,"CP0711"
"coicop18","CP07112","Second-hand motor cars (D)",5,"CP0711"
"coicop18","CP0712","Motorcycles (D)",4,"CP071"
"coicop18","CP07120","Motorcycles (D)",5,"CP0712"
"coicop18","CP0713","Bicycles (D)",4,"CP071"
"coicop18","CP07130","Bicycles (D)",5,"CP0713"
"coicop18","CP0714","Animal-drawn vehicles (D)",4,"CP071"
"coicop18","CP07140","Animal-drawn vehicles (D)",5,"CP0714"
"coicop18","CP072","Operation of personal transport equipment",3,"CP07"
"coicop18","CP0721","Parts and accessories for personal transport equipment (SD)",4,"CP072"
"coicop18","CP07211","Tyres (SD)",5,"CP0721"
"coicop18","CP07212","Parts for personal transport equipment (SD)",5,"CP0721"
"coicop18","CP07213","Accessories for personal transport equipment (SD)",5,"CP0721"
"coicop18","CP0722","Fuels and lubricants for personal transport equipment (ND)",4,"CP072"
"coicop18","CP07221","Diesel (ND)",5,"CP0722"
"coicop18","CP07222","Petrol (ND)",5,"CP0722"
